,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
371,"ул. обручева, 18",1967,111,1,16,6073.0,55.65852,37.515039
372,"нагатинская наб., 56а",2007,189,3,20,15800.2,55.689451,37.686707
373,"трубниковский пер., 30 строение 1",2001,30,2,9,4485.0,55.755642,37.58729
374,"ул. дубнинская, 32 корпус 9",2004,126,1,16,5847.1,55.883131,37.561266
375,"новинский б-р, 13",1917,47,1,6,2192.3,55.753828,37.582861
376,"ул. 1-я тверская-ямская, 7",1977,113,5,9,8466.0,55.771494,37.592797
377,"ул. дыбенко, 36 корпус 3",2006,192,3,17,8855.9,55.876496,37.485969
378,"ул. римского-корсакова, 2",1995,170,2,22,11247.0,55.869329,37.591234
379,"шмитовский проезд, 11",1929,16,2,5,1309.0,55.758169,37.551968
380,"ул. софьи ковалевской, 4 корпус 2",1980,111,1,16,5269.0,55.87995,37.535538
381,"ул. нижегородская, 52",1964,78,1,10,2717.0,55.734871,37.703649
382,"ул. паперника, 17",1962,80,4,5,3407.4,55.7216,37.789842
383,"ул. гарибальди, 20/29 корпус 1",1963,71,1,9,2567.0,55.672153,37.545617
384,"ул. петровка, 19 строение 8",1900,15,1,3,243.0,55.765346,37.615407
385,"ул. уральская, 3",1967,181,2,12,6820.3,55.812747,37.79728
386,"ул. федора полетаева, 5 корпус 4",1964,80,4,5,3545.0,55.71411,37.778946
387,"ул. плещеева, 15а",1974,228,1,9,6225.0,55.891178,37.618336
388,"юрловский проезд, 21",2005,238,3,18,17029.0,55.872758,37.615821
389,"ул. челюскинская, 10 корпус 1",1970,144,4,9,7126.0,55.882182,37.706506
390,"одоевского проезд, 11 корпус 4",1981,125,2,16,7926.0,55.599677,37.512892
391,"ул. коптевская, 28 корпус 3",1963,68,4,5,2898.2,55.836201,37.522126
392,"ул. водников, 20",1962,48,3,4,2057.0,55.817405,37.447566
393,"ул. бирюлевская, 1 корпус 1",2004,390,6,17,22040.9,55.60195,37.664752
394,"ул. новозаводская, 2 корпус 4",1960,38,2,5,2484.0,55.748574,37.513377
395,"большой предтеченский пер., 17/9 строение 1",1904,7,2,7,3323.0,55.759805,37.565892
396,"ул. левобережная, 4 корпус 7",2014,465,8,19,34840.4,55.87194,37.478136
397,"ул. фестивальная, 24 корпус 2",2004,70,1,18,5287.5,55.859332,37.501735
398,"пр-кт ломоносовский, 7 корпус 5",2000,74,1,23,10974.0,55.684594,37.54551
399,"ул. тихомирова, 7",2004,235,5,12,13281.0,55.885711,37.6471
400,"ул. ферсмана, 3 корпус 1",1958,116,4,8,7962.3,55.695372,37.574148
401,"ш. дмитровское, 107а корпус 2",2018,320,5,19,17909.1,55.878889,37.538637
402,"ул. 5-я парковая, 47 корпус 3",1960,80,4,5,3528.0,55.804734,37.785647
403,"ул. черкизовская б., 10 корпус 2",1964,160,8,5,7077.7,55.795666,37.724193
404,"ул. сайкина, 7",2001,175,1,14,7141.3,55.707857,37.6691
405,"боровское, 44 корпус 1",1989,407,6,17,25927.0,55.637032,37.346479
406,"ул. живописная, 50",1951,45,3,6,2391.0,55.801612,37.451204
407,"ул. перекопская, 34 корпус 2",2012,147,2,22,9668.7,55.663217,37.565542
408,"ул. строителей, 4 корпус 6",1954,69,3,8,5594.3,55.687736,37.539042
409,"ул. инессы арманд, 4 корпус 1",1977,140,4,9,6965.2,55.591569,37.54365
410,"9-я северная линия, 13",2008,339,5,17,21398.0,55.934321,37.548977
411,"ул. константинова, 32 корпус 1",1962,38,2,5,1506.0,55.81958,37.659605
412,"ул. 9-я парковая, 21 корпус 2",1965,68,4,5,2908.7,55.794264,37.797703
413,"ул. большая татарская, 7",2011,214,12,10,31636.2,55.742276,37.634362
414,"ул. домодедовская, 7 корпус 2",1973,215,6,9,10173.3,55.612426,37.710386
415,"1-й капотня кв-л, 2",1960,48,3,4,2027.2,55.641193,37.791109
416,"ул. плещеева, 30",1981,256,4,16,16385.0,55.890012,37.621237
417,"1-й амбулаторный проезд, 7 корпус б",1958,42,3,5,2375.0,55.811113,37.532628
418,"боровский, 6",1962,55,4,4,2349.0,55.655234,37.39046
419,"филевский б-р, 8 корпус 1",1981,570,12,12,25946.0,55.766238,37.490506
420,"ул. озерная, 30 корпус 2",1965,80,4,5,3445.5,55.676062,37.451141
421,"воротниковский пер., 2/11",1969,207,1,14,6759.0,55.769038,37.603065
422,"озерковская наб., 38-40",1956,30,3,5,2583.8,55.737193,37.638368
423,"ул. изумрудная, 12",1963,66,4,5,2772.0,55.869223,37.680868
424,"ул. фомичевой, 16 корпус 3",1967,282,8,9,13884.5,55.857756,37.439427
425,"тенистый проезд, 12",1971,98,1,14,4222.7,55.862161,37.642016
426,"ул. гурьянова, 17 корпус 1",2001,148,1,25,10600.0,55.688669,37.7206
427,"сумской проезд, 23 корпус 1",1969,84,1,12,3657.0,55.629216,37.591548
428,"ул. луганская, 3 корпус 2",1984,190,4,12,10972.0,55.627,37.665408
429,"ул. ангарская, 57 корпус 1",2012,399,7,17,22561.0,55.883217,37.527597
430,"сумской проезд, 12 корпус 1",1971,356,10,9,18236.0,55.634761,37.606316
431,"старый зыковский проезд, 6 корпус 2",1960,25,2,5,1610.0,55.800843,37.545869
432,"ул. иерусалимская, 3",1999,97,4,9,4616.5,55.732595,37.677867
433,"ул. павла корчагина, 3",1976,98,1,14,4229.0,55.814583,37.656802
434,"ул. камова, 24 корпус 3",1959,8,4,2,296.9,55.700628,37.875856
435,"большой головин пер., 6",1998,3,1,5,558.1,55.769216,37.62687
436,"ул. крылатские холмы, 39 корпус 2",1985,269,4,17,17279.0,55.760201,37.416476
437,"ул. нагорная, 24 корпус 6",1959,40,2,5,1579.0,55.678382,37.599301
438,"ул. городская, 9",1958,44,3,5,3047.6,55.715043,37.617977
439,"ул. менжинского, 28 корпус 4",1970,112,1,14,5493.0,55.871521,37.671337
440,"ул. мытная, 56",1929,27,3,5,1966.4,55.715718,37.619549
441,"ул. красного маяка, 13а корпус 5",1975,144,4,9,4868.0,55.608272,37.583239
442,"новохорошевский, 9",1960,60,3,5,2469.5,55.778107,37.497315
443,"ул. братская, 23 корпус 2",1966,110,4,5,3465.2,55.749451,37.794837
444,"ул. нижегородская, 75а",1962,60,3,5,2574.0,55.732636,37.722253
445,"пр-кт балаклавский, 20 корпус 1",2003,184,1,24,8313.1,55.643007,37.600073
446,"ул. менжинского, 7",1962,18,2,5,1572.0,55.867692,37.674714
447,"ул. большая переяславская, 9",1972,108,1,16,5337.0,55.783301,37.641351
448,"ул. липецкая, 54/21",1977,124,2,16,7927.6,55.578213,37.683922
449,"парусный проезд, 9",1965,80,4,5,3390.0,55.846542,37.449183
450,"ш. открытое, 1 корпус 5",1960,60,3,5,2561.0,55.808386,37.725532
451,"2-й войковский проезд, 5",1962,60,3,5,2484.0,55.81648,37.495078
452,"ш. рублевское, 151 корпус 5",2000,19,2,2,560.5,55.768866,37.343514
453,"пр-кт ленинградский, 5 строение 2",1911,96,5,8,5903.0,55.779079,37.576708
454,"ул. полярная, 40",1967,84,1,12,3634.0,55.886049,37.644603
455,"черепановых проезд, 44",1967,77,1,12,3270.1,55.842595,37.533652
456,"сиреневый б-р, 59",2007,64,1,17,3076.2,55.803656,37.817151
457,"напольный проезд, 10",1985,271,4,17,17202.0,55.757642,37.825712
458,"кутузовский пер., 3",1958,45,3,5,2482.0,55.741059,37.542976
459,"ул. малая пионерская, 23-31 строение 1",1959,80,4,5,3459.7,55.727263,37.636033
460,"ул. кравченко, 16 корпус 1",1960,80,4,5,3503.0,55.67927,37.516027
461,"ул. 5-я парковая, 46а",1957,43,3,5,2498.6,55.800332,37.789267
462,"ш. ленинградское, 36 корпус 2",1957,60,3,5,4007.4,55.830912,37.490515
463,"ул. черняховского, 7",1961,64,1,9,2265.0,55.804354,37.534308
464,"ул. беломорская, 5 корпус 1",1972,214,2,12,8762.0,55.864808,37.470365
465,"ул. генерала белобородова, 14 корпус 1",1996,128,2,17,7060.0,55.835468,37.354393
466,"п. новофедоровское, ул. генерала донскова, 21 корпус 4",2019,18,1,3,897.9,55.487861,36.917803
467,"ул. святоозерская, 26",2005,256,6,12,14261.7,55.712239,37.893382
468,"ул. черногрязская 2-я, 11/15",1964,60,3,5,2622.0,55.76447,37.547153
469,"звездный б-р, 26 корпус 1",1959,64,1,8,2186.0,55.814882,37.627768
470,"кривоарбатский пер., 8 строение 2",2004,19,2,7,2770.0,55.748407,37.589994
471,"ул. волочаевская, 40 корпус 9",1958,15,2,3,722.4,55.751558,37.674984
472,"ул. полбина, 42",1969,213,6,9,10114.3,55.680458,37.728541
473,"ул. южнобутовская, 47",1996,119,6,9,7313.0,55.537246,37.532116
474,"ул. матвеевская, 4 корпус 2",1971,188,2,16,5664.0,55.705143,37.475423
475,"ул. твардовского, 23",1981,445,7,16,24503.0,55.795388,37.405157
476,"ул. футбольная, 24",2013,33,3,3,1575.7,55.51407,37.373455
477,"ул. 1-я квесисская, 9",2016,139,1,20,14163.9,55.793571,37.580202
478,"ул. вяземская, 8",2013,258,4,18,12994.3,55.713785,37.400674
479,"озерковская наб., 48-50 строение 3",1953,59,3,5,4174.4,55.73554,37.63827
480,"ул. старослободская, 3",2001,84,4,17,10289.0,55.790676,37.670429
481,"ул. 3-я карачаровская, 8 корпус 2",1968,54,1,9,2383.0,55.733325,37.747172
482,"ул. базовская, 15 корпус 8",2014,192,3,17,9992.0,55.878056,37.507906
483,"ул. шереметьевская, 17 корпус 2",1962,60,3,5,2524.0,55.798247,37.614626
484,"ул. островитянова, 9",2004,336,7,16,26461.0,55.643769,37.496075
485,"ул. лосевская, 1 корпус 4",1975,211,6,9,10330.0,55.874289,37.710386
486,"пушкарев пер., 19",1951,9,1,3,690.5,55.769043,37.630122
487,"ул. коптевская, 22",1954,80,6,5,5390.8,55.831858,37.519881
488,"ботанический пер., 16",1999,68,1,23,9592.9,55.778952,37.639006
489,"лесной 2-й пер., 8",1960,126,4,8,5337.0,55.781175,37.587865
490,"пр-кт вернадского, 37 корпус 1б",2004,73,1,19,6798.0,55.67793,37.510439
491,"ул. верхняя масловка, 23",1934,60,6,5,3657.0,55.796744,37.559613
492,"ул. 16-я парковая, 18",1966,216,3,9,7569.0,55.802371,37.83059
493,"ул. маршала катукова, 19 корпус 2",1979,213,6,9,10593.3,55.807946,37.410151
494,"ул. тимура фрунзе, 16",1957,24,2,5,1720.0,55.73443,37.589527
495,"ш. сколковское, 18",2005,52,1,14,2393.0,55.709145,37.399632
496,"пр-кт 60-летия октября, 18 корпус 3",1959,40,2,5,1571.2,55.689984,37.572944
497,"пр-кт рязанский, 47 корпус 2",1960,80,4,5,3350.7,55.726725,37.762974
498,"ш. ленинградское, 52б",2002,127,1,16,10468.8,55.837287,37.485655
499,"ул. новгородская, 14 корпус 2",1983,127,1,16,5811.0,55.896191,37.582358
500,"ташкентский пер., 1",1968,215,6,9,7250.0,55.707197,37.819702
501,"ул. ереванская, 6 корпус 3",1965,80,4,5,3542.0,55.628749,37.668273
502,"сивцев вражек пер., 21",1928,46,3,7,2772.0,55.747267,37.593381
503,"ул. батюнинская, 12",1986,96,2,12,5490.9,55.659673,37.704583
504,"серебрякова проезд, 9 корпус 3",1967,83,1,12,2270.0,55.848887,37.647073
505,"ул. елецкая, 22/25",1977,382,8,12,15144.0,55.605175,37.733581
506,"жемчуговой аллея, 5 корпус 4",2000,258,4,17,14800.0,55.732099,37.825496
507,"пр-кт мира, 112",1960,340,7,9,21647.0,55.805943,37.637847
508,"ул. флотская, 23 корпус 1",2001,87,1,22,4979.8,55.860428,37.512999
509,"ул. 1-я курьяновская, 23",1951,12,2,2,654.2,55.654315,37.703388
510,"пр-кт мира, 108",1959,392,11,10,28184.0,55.803535,37.63765
511,"ул. степана шутова, 8 корпус 1",1963,80,4,5,3518.5,55.674813,37.811141
512,"п. сосенское, 28 кв-л, 1 корпус 4",2021,687,10,15,34504.3,55.60104,37.413763
513,"ул. 1812 года, 12",1963,171,6,8,7079.0,55.741764,37.520348
514,"походный, 11 корпус 1",1974,98,1,14,4290.0,55.839082,37.416125
515,"пр-кт ленинский, 121/1 корпус 3",1993,138,1,25,9385.0,55.649251,37.484397
516,"ул. руставели, 6а корпус 1",1961,80,4,5,3433.0,55.811644,37.588305
517,"ул. космонавтов, 7",1971,153,1,14,7911.0,55.821765,37.65426
518,"ш. каширское, 122",1996,154,1,24,4933.0,55.605902,37.71813
519,"ул. маршала неделина, 34 корпус 3",1957,40,2,5,2565.0,55.725057,37.421111
520,"ул. ефремова, 20",1929,70,4,5,2486.0,55.722314,37.568605
521,"ул. михайлова, 8",1965,68,1,9,2461.0,55.728216,37.763962
