,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city,Flats_per_floor,Street
6306,"ул. ладожская, 7",1917,17,2,3,966.0,55.771626,37.682583,moscow,2.833333333333333,ул. ладожская
48822,"ул. академика губкина, 2",1963,49,3,5,2093.0,55.802755,49.187146,kazan,3.2666666666666666,ул. академика губкина
4313,"3-й дорожный проезд, 10 корпус 2",1972,191,4,12,9609.9,55.600211,37.62024,moscow,3.9791666666666665,3-й дорожный проезд
30231,"8-й новоподмосковный пер., 4",1964,80,4,5,3502.8,55.825795,37.523052,moscow,4.0,8-й новоподмосковный пер.
3656,"ул. маршала мерецкова, 2",1990,105,1,16,5018.0,55.793313,37.49091,moscow,6.5625,ул. маршала мерецкова
34719,"ул. большая зеленина, 9 литер а",1911,27,3,6,2169.6,59.960354,30.294327,spb,1.5,ул. большая зеленина
28538,"ул. береговая, 6",2003,41,5,7,8980.3,55.831383,37.470904,moscow,1.1714285714285713,ул. береговая
5855,"ул. хамовнический вал, 36",2008,121,6,10,11564.0,55.722588,37.558391,moscow,2.0166666666666666,ул. хамовнический вал
29590,"ул. 3-я песчаная, 5 корпус 2",1954,51,2,6,3275.7,55.793475,37.513503,moscow,4.25,ул. 3-я песчаная
23972,"ул. херсонская, 39",1969,105,1,16,5755.0,55.654295,37.559415,moscow,6.5625,ул. херсонская
37480,"ул. 2-я никитинская, 62 литер а",2001,21,21,4,4452.1,60.02008,30.275183,spb,0.25,ул. 2-я никитинская
1103,"ул. маршала мерецкова, 12",1951,27,5,3,1900.9,55.795332,37.487245,moscow,1.8,ул. маршала мерецкова
37001,"пр-кт народного ополчения, 175 литер а",1968,139,7,5,6859.27,59.826253,30.217664,spb,3.971428571428572,пр-кт народного ополчения
15804,"пр-кт федеративный, 22 корпус 2",1967,60,3,5,1680.0,55.754314,37.808375,moscow,4.0,пр-кт федеративный
5118,"ул. арбат, 30/3 строение 2",1904,24,2,6,1415.5,55.749587,37.589743,moscow,2.0,ул. арбат
25550,"ул. федора полетаева, 32 корпус 4",1966,144,2,9,5197.0,55.707451,37.787084,moscow,8.0,ул. федора полетаева
39793,"ул. олеко дундича, 19 корпус 3 литер а",1976,189,5,9,10494.23,59.827026,30.400876,spb,4.199999999999999,ул. олеко дундича
36836,"ул. 1-я советская, 10 литер в",1868,4,1,3,261.2,59.931643,30.364898,spb,1.3333333333333333,ул. 1-я советская
8841,"бескудниковский б-р, 56 корпус 1",2008,117,3,14,6968.3,55.87393,37.536392,moscow,2.7857142857142856,бескудниковский б-р
47419,"пр-кт пятилеток, 16 корпус 3 литер а",1997,87,1,17,5088.9,59.923081,30.450579,spb,5.117647058823529,пр-кт пятилеток
45418,"ул. дудко, 31 литер б",1961,36,3,3,1494.63,59.886076,30.426909,spb,4.0,ул. дудко
38361,"ул. блохина, 4 литер а",1905,102,5,5,7824.33,59.95051,30.304738,spb,4.08,ул. блохина
11485,"пр-кт ленинградский, 33 корпус 9",1958,40,2,5,1577.0,55.78646,37.558634,moscow,4.0,пр-кт ленинградский
37829,"ул. камышовая, 48 корпус 1 литер а",2007,150,2,17,9915.7,60.010447,30.209067,spb,4.411764705882353,ул. камышовая
740,"ул. плеханова, 14 корпус 3",1965,60,3,5,2581.1,55.745093,37.763656,moscow,4.0,ул. плеханова
7678,"кавказский б-р, 47 корпус 1",1966,130,3,5,2835.0,55.627509,37.649229,moscow,8.666666666666668,кавказский б-р
21800,"ул. гончарова, 3",1967,96,1,12,3585.3,55.815398,37.583104,moscow,8.0,ул. гончарова
26216,"ул. плющева, 17 корпус 2",1983,95,2,12,4269.5,55.739458,37.762462,moscow,3.9583333333333335,ул. плющева
43217,"ул. блохина, 5/2 литер а",1894,30,5,4,1781.0,59.951254,30.303669,spb,1.5,ул. блохина
