,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,Flats_per_floor,Street
124,"пр-кт искровский, 40 литер а",2004,154,3,16,9218.7,59.895217,30.477789,3.208333333333333,пр-кт искровский
125,"ул. малая посадская, 15 литер б",1908,45,4,7,4314.5,59.957368,30.328561,1.6071428571428572,ул. малая посадская
126,"6-я в.о. линия, 17 литер б",1917,40,1,5,2819.4,59.94124,30.28184,8.0,6-я в.о. линия
127,"ул. димитрова, 41 корпус 1 литер а",2007,197,3,20,11317.7,59.851132,30.417486,3.2833333333333337,ул. димитрова
128,"ул. гладкова, 14 литер ж",1950,10,1,3,490.6,59.896716,30.269255,3.333333333333333,ул. гладкова
129,"пр-кт малый п.с., 7 литер б",1909,10,1,5,961.99,59.954417,30.291793,2.0,пр-кт малый п.с.
130,"ул. 6-я жерновская, 9 литер а",2012,45,1,9,3290.1,59.964728,30.494561,5.0,ул. 6-я жерновская
131,"ул. турку, 9 корпус 5 литер а",1971,216,6,9,11501.0,59.864751,30.377376,4.0,ул. турку
132,"ул. херсонская, 23 корпус 1 литер а",1898,19,3,5,1246.3,59.928469,30.380035,1.2666666666666666,ул. херсонская
133,"пр-кт загородный, 21-23 литер а",1905,210,24,5,14390.83,59.924975,30.33909,1.75,пр-кт загородный
134,"ул. крупской, 12 корпус 1 литер а",1949,2,1,2,553.0,59.888695,30.428068,1.0,ул. крупской
135,"пр-кт богатырский, 25 корпус 5 литер а",1992,80,2,10,4708.5,60.003475,30.251477,4.0,пр-кт богатырский
136,"ул. отважных, 2 корпус 2 литер а",2005,68,3,6,4807.1,59.83508,30.172686,3.777777777777778,ул. отважных
137,"ул. зверинская, 26 литер а",1910,12,1,5,661.73,59.953489,30.30074,2.4,ул. зверинская
138,"ул. зины портновой, 34 литер а",1962,69,7,5,3159.2,59.850391,30.25701,1.9714285714285715,ул. зины портновой
139,"ул. гороховая, 41 литер а",1825,32,9,7,3996.1,59.928816,30.321177,0.5079365079365079,ул. гороховая
140,"ш. петергофское, 84 корпус 9 литер а",2001,85,5,5,6223.7,59.847702,30.10824,3.4,ш. петергофское
141,"ул. седова, 19 литер а",1956,87,7,5,5808.7,59.893037,30.413964,2.4857142857142858,ул. седова
142,"канонерский остров, 13 литер а",1967,70,7,5,3191.59,59.900845,30.216829,2.0,канонерский остров
143,"новаторов б-р, 21 литер а",1962,48,1,8,1684.3,59.849049,30.263128,6.0,новаторов б-р
144,"ул. алтайская, 4 литер а",1954,6,3,5,3202.14,59.850106,30.319147,0.4,ул. алтайская
145,"саперный пер., 16/36 литер а",1846,74,12,6,8480.7,59.941096,30.359859,1.027777777777778,саперный пер.
146,"пр-кт большевиков, 13 корпус 2 литер в",1973,261,7,9,13900.67,59.910839,30.474286,4.142857142857142,пр-кт большевиков
147,"пр-кт костромской, 57 литер а",1959,60,3,5,2521.6,60.024275,30.314763,4.0,пр-кт костромской
148,"ул. шевченко, 6/8 литер а",1955,51,4,5,3929.56,59.930264,30.245764,2.55,ул. шевченко
149,"ул. малая посадская, 6 литер б",1908,23,1,6,1307.2,59.958579,30.320629,3.8333333333333335,ул. малая посадская
150,"пр-кт обуховской обороны, 107 литер б",1917,36,5,6,2851.78,59.894495,30.436772,1.2,пр-кт обуховской обороны
