,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city
39021,"пр-кт константиновский, 23 литер а",2011,73,4,7,13469.1,59.973455,30.267772,spb
7531,"ул. изумрудная, 52",1985,90,1,16,4976.0,55.879202,37.695295,moscow
41734,"ул. летчика пилютова, 36 литер а",1972,143,2,12,6574.0,59.836124,30.140616,spb
9445,"ул. фабричная, 4 корпус 2",1935,4,1,2,283.7,55.853208,37.391574,moscow
35374,"пр-кт ленинский, 116 литер а",1958,87,8,5,5407.9,59.852335,30.247794,spb
38083,"ул. краснопутиловская, 23 литер а",1961,58,3,5,2409.54,59.869905,30.268105,spb
33365,"ул. тверская, 10 литер а",1917,17,5,7,1930.07,59.947104,30.381876,spb
6451,"3-й новомихалковский проезд, 7а",1960,80,4,5,3426.1,55.838799,37.54056,moscow
9174,"ул. новопесчаная, 26",1953,141,5,8,10244.2,55.793505,37.50584,moscow
46246,"ул. полярников, 6 литер а",2008,120,3,11,7332.54,59.876549,30.43785,spb
45712,"шкиперский проток, 5 литер а",1956,29,5,9,8882.2,59.934263,30.242566,spb
38096,"ул. карпинского, 28 корпус 5 литер а",1965,100,5,5,4477.77,60.010443,30.422292,spb
32357,"ул. ключевая, 31 литер а",1962,80,4,5,3593.32,59.97328,30.410479,spb
47444,"ул. шателена, 2 корпус 2 литер р",1965,80,4,5,3398.72,60.001073,30.363919,spb
22368,"ул. земляной вал, 61 корпус 1",1902,32,4,4,1804.0,55.748655,37.656478,moscow
347,"загорского проезд, 7 корпус 2",1984,82,1,15,4651.0,55.719338,37.443344,moscow
15128,"ул. ельнинская, 12 корпус 1",1962,114,1,9,2583.1,55.737137,37.429034,moscow
13320,"ул. чусовская, 11 корпус 7",1964,120,6,5,5126.0,55.815392,37.809345,moscow
34276,"пр-кт стачек, 17 литер а",1952,96,7,5,6562.29,59.89362,30.27433,spb
44525,"ул. летчика пилютова, 50 корпус 1 литер а",2006,118,3,10,6375.3,59.827478,30.140786,spb
40381,"пр-кт рижский, 32 литер а",1917,49,2,4,1606.1,59.913438,30.286951,spb
26932,"ул. 2-я синичкина, 26",1972,96,1,12,3642.0,55.760975,37.715848,moscow
